ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABHIJ,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHIL,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHIP,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHIQ,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHIV,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHIW,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHIX,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHJK,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHJL,0,1,1,0,1,0,1,1,0,1,0,1,0
ABHJM,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHJN,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHJO,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHJP,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHJW,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHKL,0,1,0,0,0,0,1,0,0,0,0,0,0
ABHKM,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHKN,0,1,1,0,0,0,0,0,0,0,0,0,0
ABHKO,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHKQ,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHKV,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHKW,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHKX,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHLN,0,1,1,1,1,0,0,0,1,0,0,0,0
ABHLQ,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHLV,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHLW,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHMN,0,1,1,0,0,0,0,0,0,0,0,1,0
ABHMP,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHMW,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHMX,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHNO,0,1,0,0,0,0,1,1,0,0,0,0,0
ABHNPQ,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHNX,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHOQ,0,1,0,0,0,0,0,0,0,0,0,0,0
ABHOV,0,1,0,0,0,0,0,0,0,0,0,0,0
